Personal_Vehicle_Km,Public_Vehicle_Km,Plane_Journey_Count,Train_Journey_Count,Electricity_Kwh,Water_Usage_Liters,Diet_Type,Waste_Kg,Carbon_Footprint_Kg
49.7715365228244,67.597204464029,4,9,299.57844769252,51.7999403204506,Veg,0.433913945795129,52.4759276818072
64.4761990697413,-49.0008329984074,1,0,16.1457182528992,-170.486020604441,MostlyVeg,0.44791329632089,12.5034033028502
-47.7538894109937,2.133304571891,9,1,187.37744117546,-159.13276181423,NonVeg,0.39788127234886,33.1547684963862
1.57228185360752,-47.87138842082,1,2,366.394572954183,-141.009555052122,Veg,0.451902689075529,7.21323303737942
28.1371539027473,2.4423151815827,1,10,455.301692411884,-129.647608568604,Both,0.357464587201999,28.8949275598166
10.3899966169712,46.1786210609322,8,4,117.207684413425,185.974648416819,MostlyNonVeg,0.375311410564325,50.7641895017314
-18.2175719333357,-5.74393126829326,8,10,46.6969147134022,67.465635279401,MostlyVeg,0.451396645723614,45.1977237520867
64.8515197551349,-37.6445024718849,8,0,-159.462213770828,-189.720800397201,Both,0.341079259661202,44.5709527489593
-1.51421898054207,42.564786233118,10,3,187.245571417109,160.208733538109,MostlyNonVeg,0.372905059090074,59.1038188485713
-17.3359362442904,29.4998103688643,2,5,200.232948990882,228.176685974474,MostlyNonVeg,0.437756415223025,15.8627289451116
-86.4821540895858,-18.3238809382497,3,7,-30.8699782294712,160.462973094802,Both,0.343365392569908,3.03589843089436
68.706744701898,-46.173109485218,9,0,-19.2163322109807,112.531640426427,NonVeg,0.387427439312589,50.4203192644288
83.4092579535787,-13.1947104282756,6,7,-151.86874365469,61.9304610918541,MostlyVeg,0.467368628557476,45.3761681700897
4.54792006594315,4.20279920586636,3,0,-159.415834616802,206.506345743724,MostlyVeg,0.498164572794268,14.845438310179
15.4808177951539,13.490017540077,8,10,214.409716066287,-9.0922631814566,MostlyVeg,0.465792371445793,55.4200905986583
-57.2734386851196,8.61725091628765,10,10,-301.234423708008,-9.34867439652807,MostlyVeg,0.36292893210818,40.6659270692166
24.5265317117658,-1.36709357675515,10,2,127.454430393268,97.4872461030681,MostlyVeg,0.404984714480071,53.4166482209746
-32.0076104750766,39.531221717498,10,3,130.250374414269,160.229245833434,MostlyVeg,0.356813494975543,48.211537858784
3.87978763528004,31.8345897675897,0,2,382.493472057621,-107.874251030972,NonVeg,0.48080886327932,13.0753235260641
-63.413921636845,-34.0529933329405,3,7,-57.1425597109683,62.3174325722632,MostlyNonVeg,0.390998289555014,3.87937911700649
-12.6574009344146,31.7176705570993,1,8,174.016991069357,14.9265415274049,Veg,0.411876531065168,20.0802916982488
-24.6739021298534,-9.85306287533902,2,3,378.881572151107,86.4742777086757,MostlyNonVeg,0.366301946521519,14.5509316608734
-12.2341208861434,-8.09526196629273,1,7,225.937192537834,-66.1916811858735,MostlyNonVeg,0.455427638091641,15.464190609977
32.9363444599718,-22.6507237658852,0,6,-141.667408661617,1.21982236032992,MostlyVeg,0.476379233548283,10.8054343129898
45.977870227799,51.175709128455,8,10,-199.736207769264,-143.433596615939,MostlyNonVeg,0.4291830292408,63.5059237685297
10.8908247703613,-15.9337650936164,1,5,62.6356013927942,22.5024742172445,MostlyVeg,0.416520421612864,10.1499935781338
-88.706190674774,-44.7479542022125,1,1,51.8873051081329,86.5447430592187,MostlyNonVeg,0.462438860933047,-15.9339200299546
10.6070456633686,-10.6254930511305,3,1,34.3777662334372,-67.8999137053,MostlyVeg,0.430445522288783,17.2899647201561
-21.1551209657464,-44.9378972867643,6,1,412.798904856025,60.0456811320855,Veg,0.371747070679093,27.7116944093203
47.2095482990909,-7.79690753685141,1,8,-12.1599706133268,-71.339080605586,Veg,0.446912793992767,22.7015116916612
13.0075623564561,11.2155765869742,4,3,268.73669247787,-46.8419557290085,Both,0.414906889629964,30.4053164020245
-26.6118037016125,71.8673704947022,4,9,-54.4422365430402,79.2077728512722,MostlyVeg,0.408590467594604,30.6125461318164
20.031631370021,-48.9499991899516,2,4,148.314137392143,21.5464364837347,Both,0.380032421270695,17.1665748852806
-35.6528245845196,27.1722785851562,3,2,-36.8351091378758,-130.921458709805,Veg,0.340962688377499,11.7152553920047
-1.89411623354057,56.7090116074812,2,2,79.2583498206173,39.5598716123982,Veg,0.427968232717737,19.6529808665022
31.0646444000601,-36.224452061189,10,1,198.826409019396,-10.1255822471837,MostlyNonVeg,0.409219923405394,54.0744592199784
-13.1738187594587,-51.6150755906008,1,4,104.750527077312,-22.5507562306534,MostlyNonVeg,0.36107920794769,3.25227969144588
31.7696590429705,-46.8765238677421,7,9,-24.2186959759554,251.203375250102,NonVeg,0.355542657964594,42.1567720283945
-44.6535891587482,76.026553814866,8,3,37.4605886243523,224.589328726812,MostlyNonVeg,0.414409790651015,41.6064662261852
-80.5929480018664,-37.3049842162072,5,7,141.352582209586,-70.7152429686372,MostlyNonVeg,0.490739376515036,8.27623452327399
10.4371715601647,-11.7104915013506,5,5,-76.2678269299704,34.2643124548582,Both,0.464709845887359,27.7670810488506
-103.907947788515,60.322314628993,8,5,-140.940551642275,174.987933859055,MostlyNonVeg,0.382954872421385,25.1341782074931
15.5242790793558,-2.80076450534555,5,8,150.836157228805,-98.6279401836003,Veg,0.382714368891004,36.8689233973752
-36.5630043338716,-18.5663890489693,10,10,21.3511226509418,62.6908844808479,MostlyNonVeg,0.450443270281144,44.8036757520654
25.3664918437879,-7.49301877124519,1,9,276.411466518619,-88.582714783504,NonVeg,0.48767166072981,23.1484574177799
-5.00725987993064,-43.0203577559251,1,3,-25.8720518759852,-179.47366720199,Both,0.430663315024123,5.0227890243476
102.956143064126,13.420191627147,2,8,-253.081885026042,86.6761601713396,NonVeg,0.372180338289817,37.4732851320203
-30.836484473096,23.5039335726062,10,3,-46.1492755448293,-105.638572774267,Both,0.468793000945751,45.3251380905584
38.0814145721973,-72.2724951334568,1,5,242.186368600624,25.5472702728581,MostlyVeg,0.366379957427112,15.1504078792834
-16.8222908220988,-27.4425155125881,5,4,109.921503148557,-149.142834495528,MostlyNonVeg,0.46800257466981,20.6672061711048
-60.0342869851133,-10.9726720678725,1,4,147.23751529225,1.45897947653016,MostlyVeg,0.431071523130418,-2.83792399066749
26.337596147346,1.53692981907437,3,0,182.850055671773,173.405215174777,NonVeg,0.372229739030168,25.1464435111349
29.8766287916324,23.3892087408445,4,1,315.368932330406,-308.877762563739,Both,0.347571241367098,35.4801953010552
54.7506575899015,-27.897431661778,8,3,-15.478804511842,-52.1020701174928,Both,0.34015480054876,47.4160187522356
-14.3698344475342,22.4782190067309,5,3,131.53520440775,125.809866453623,MostlyVeg,0.402409031932292,28.0170113348801
-16.5588998673729,-9.76502926791107,2,7,317.778436207313,97.6898573576234,NonVeg,0.488085063693508,16.4184291139221
45.0557518040702,36.1416989880614,3,7,152.881042457841,32.5820786259177,Both,0.424608125325089,35.0249765610076
-25.7050995165119,-0.231039669576565,10,0,479.061558181616,42.7587429822938,NonVeg,0.460008994061961,46.4560423148999
25.1689287345118,-12.0797565932183,1,10,-20.2146576226951,-59.1476546092477,Both,0.458681168876572,19.8221192475471
30.8735514071406,-46.2328082895087,5,2,131.700882815486,-44.1115287265544,Veg,0.441981344247253,26.9335336960126
71.3255008132389,-3.98660648910867,6,6,-350.242547388007,216.110527965447,Veg,0.481408076961114,43.0855075018982
19.6946401382755,-16.9989655310643,6,6,301.896977141462,108.394348219841,MostlyVeg,0.462269284194808,40.4288368331342
-22.4749921929168,19.6957260726614,10,4,338.750269646197,-11.2591982407004,MostlyVeg,0.47913975212607,51.2196779898897
-97.6027463923097,70.1747621917573,4,0,200.685843627513,-108.997218783069,Both,0.425867367104403,17.5303538465694
33.3250879883596,32.7414487017956,10,5,377.538269367832,-130.529584193119,MostlyNonVeg,0.463696306375236,70.0366302250529
-49.2553202056498,-27.7083453335513,7,3,523.80649208508,-204.840974160833,Both,0.398246337123257,30.7736982214966
-13.6144924001042,-32.1568937395774,1,0,104.267801889844,103.499346721844,Veg,0.367756718240878,0.355188811271719
