Personal_Vehicle_Km_Annual,Public_Vehicle_Km_Annual,Plane_Journey_Count_Annual,Train_Journey_Count_Annual,Electricity_Kwh_Annual,Water_Usage_Liters_Annual,Diet_Type,Waste_Kg_Annual,Carbon_Footprint_Kg_Annual
597.2584382738928,811.1664535683481,48,108,3594.94137231024,621.5992838454072,Veg,5.206967349541548,629.7111321816864
773.7143888368955,-588.0099959808888,12,0,193.7486190347904,-2045.8322472532918,MostlyVeg,5.37495955585068,150.0408396342024
-573.0466729319244,25.599654862692002,108,12,2248.52929410552,-1909.5931417707602,NonVeg,4.77457526818632,397.85722195663436
18.86738224329024,-574.45666104984,12,24,4396.734875450196,-1692.1146606254642,Veg,5.4228322689063475,86.55879644855304
337.6458468329676,29.307782178992397,12,120,5463.620308942608,-1555.7713028232479,Both,4.2895750464239875,346.7391307177992
124.6799594036544,554.1434527311865,96,48,1406.4922129611,2231.695781001828,MostlyNonVeg,4.5037369267719,609.1702740207768
-218.6108632000284,-68.92717521951913,96,120,560.3629765608264,809.587623352812,MostlyVeg,5.416759748683368,542.3726850250405
778.2182370616188,-451.7340296626188,96,0,-1913.5465652499358,-2276.6496047664123,Both,4.092951115934424,534.8514329875115
-18.17062776650484,510.777434797416,120,36,2246.946857005308,1922.504802457308,MostlyNonVeg,4.474860709080888,709.2458261828556
-208.03123493148482,353.9977244263716,24,60,2402.7953878905837,2738.120231693688,MostlyNonVeg,5.2530769826762995,190.3527473413392
-1037.7858490750295,-219.8865712589964,36,84,-370.4397387536544,1925.5556771376241,Both,4.120384710838896,36.430781170732324
824.480936422776,-554.077313822616,108,0,-230.5959865317684,1350.3796851171242,NonVeg,4.649129271751068,605.0438311731456
1000.9110954429444,-158.3365251393072,72,84,-1822.4249238562802,743.1655331022491,MostlyVeg,5.608423542689712,544.5140180410764
54.575040791317804,50.433590470396325,36,0,-1912.9900154016239,2478.076148924688,MostlyVeg,5.977974873531216,178.145259722148
185.76981354184682,161.880210480924,96,120,2572.9165927954436,-109.10715817747919,MostlyVeg,5.589508457349516,665.0410871838995
-687.2812642214352,103.4070109954518,120,120,-3614.813084496096,-112.18409275833685,MostlyVeg,4.35514718529816,487.99112483059923
294.3183805411896,-16.4051229210618,120,24,1529.453164719216,1169.8469532368172,MostlyVeg,4.8598165737608525,640.9997786516952
-384.09132570091924,474.374660609976,120,36,1563.004492971228,1922.750950001208,MostlyVeg,4.281761939706516,578.538454305408
46.55745162336048,382.0150772110764,0,24,4589.921664691452,-1294.491012371664,NonVeg,5.76970635935184,156.9038823127692
-760.9670596421399,-408.63591999528603,36,84,-685.7107165316196,747.8091908671583,MostlyNonVeg,4.691979474660168,46.55254940407788
-151.8888112129752,380.6120466851916,12,96,2088.203892832284,179.1184983288588,Veg,4.942518372782016,240.9635003789856
-296.0868255582408,-118.23675450406824,24,36,4546.578865813284,1037.6913325041085,MostlyNonVeg,4.395623358258228,174.6111799304808
-146.8094506337208,-97.14314359551275,12,84,2711.246310454008,-794.3001742304821,MostlyNonVeg,5.4651316570996915,185.570287319724
